tenor,rate
1W,0.036242352821982841
2W,0.036253074725086501
3W,0.036254649653409972
1M,0.036253957218641414
2M,0.03645824352475064
3M,0.036667179254707166
4M,0.036932521138661051
5M,0.037189663436225914
6M,0.03745288921198342
9M,0.038290638466494227
1Y,0.039080847522416938
18M,0.039548897418712335
2Y,0.039770936414276786
3Y,0.039657370701192393
4Y,0.039570930050276225
5Y,0.039644021130314698
6Y,0.039867895226456687
7Y,0.040144070012193674
8Y,0.040433853086539615
9Y,0.040741569315169597
10Y,0.041059029973101333
12Y,0.041707341581468445
15Y,0.042552367322064161
20Y,0.043227573462517398
25Y,0.043150350223052303
30Y,0.04274095040668531
