expiry_label,underlying_tenor,value
1M,1Y,70.700000000000003
1M,2Y,86.400000000000006
1M,3Y,83.599999999999994
1M,4Y,79.299999999999997
1M,5Y,77.799999999999997
1M,7Y,72.099999999999994
1M,10Y,64.900000000000006
1M,15Y,60
1M,20Y,56
1M,25Y,54.700000000000003
1M,30Y,53.299999999999997
3M,1Y,84.5
3M,2Y,94.200000000000003
3M,3Y,90.400000000000006
3M,4Y,87.400000000000006
3M,5Y,84.5
3M,7Y,79.799999999999997
3M,10Y,73.400000000000006
3M,15Y,68.700000000000003
3M,20Y,65.299999999999997
3M,25Y,63.799999999999997
3M,30Y,62.700000000000003
6M,1Y,97
6M,2Y,97.700000000000003
6M,3Y,93.799999999999997
6M,4Y,90.5
6M,5Y,87.099999999999994
6M,7Y,82.799999999999997
6M,10Y,77.5
6M,15Y,73.599999999999994
6M,20Y,70.799999999999997
6M,25Y,69.599999999999994
6M,30Y,68.799999999999997
9M,1Y,100.7
9M,2Y,98.099999999999994
9M,3Y,93.900000000000006
9M,4Y,90.700000000000003
9M,5Y,87.400000000000006
9M,7Y,83.299999999999997
9M,10Y,78.599999999999994
9M,15Y,75.299999999999997
9M,20Y,73
9M,25Y,71.900000000000006
9M,30Y,71.400000000000006
1Y,1Y,102.40000000000001
1Y,2Y,98.700000000000003
1Y,3Y,94.299999999999997
1Y,4Y,91.400000000000006
1Y,5Y,88.400000000000006
1Y,7Y,84.200000000000003
1Y,10Y,80
1Y,15Y,76.900000000000006
1Y,20Y,74.900000000000006
1Y,25Y,74
1Y,30Y,73.5
2Y,1Y,98.599999999999994
2Y,2Y,94.599999999999994
2Y,3Y,91.700000000000003
2Y,4Y,89.5
2Y,5Y,87.299999999999997
2Y,7Y,84
2Y,10Y,80.799999999999997
2Y,15Y,78.299999999999997
2Y,20Y,76.900000000000006
2Y,25Y,76.200000000000003
2Y,30Y,75.900000000000006
3Y,1Y,94.799999999999997
3Y,2Y,92
3Y,3Y,89.5
3Y,4Y,88
3Y,5Y,86.5
3Y,7Y,84.099999999999994
3Y,10Y,81.799999999999997
3Y,15Y,79.299999999999997
3Y,20Y,78
3Y,25Y,77.299999999999997
3Y,30Y,77
4Y,1Y,92.599999999999994
4Y,2Y,89.900000000000006
4Y,3Y,88.599999999999994
4Y,4Y,87.099999999999994
4Y,5Y,85.700000000000003
4Y,7Y,83.900000000000006
4Y,10Y,82.099999999999994
4Y,15Y,79.599999999999994
4Y,20Y,78.299999999999997
4Y,25Y,77.599999999999994
4Y,30Y,77.400000000000006
5Y,1Y,90.599999999999994
5Y,2Y,88.700000000000003
5Y,3Y,87.299999999999997
5Y,4Y,86.099999999999994
5Y,5Y,84.900000000000006
5Y,7Y,83.599999999999994
5Y,10Y,82.299999999999997
5Y,15Y,79.599999999999994
5Y,20Y,78.599999999999994
5Y,25Y,77.799999999999997
5Y,30Y,77.599999999999994
6Y,1Y,88.5
6Y,2Y,87.299999999999997
6Y,3Y,86.599999999999994
6Y,4Y,85.599999999999994
6Y,5Y,84.599999999999994
6Y,7Y,83.400000000000006
6Y,10Y,82.200000000000003
6Y,15Y,79.5
6Y,20Y,78.400000000000006
6Y,25Y,77.700000000000003
6Y,30Y,77.5
7Y,1Y,87.200000000000003
7Y,2Y,86.5
7Y,3Y,85.700000000000003
7Y,4Y,84.900000000000006
7Y,5Y,84.200000000000003
7Y,7Y,83.200000000000003
7Y,10Y,82
7Y,15Y,79.299999999999997
7Y,20Y,78.299999999999997
7Y,25Y,77.599999999999994
7Y,30Y,77.299999999999997
8Y,1Y,86.200000000000003
8Y,2Y,85.5
8Y,3Y,84.700000000000003
8Y,4Y,84.299999999999997
8Y,5Y,83.799999999999997
8Y,7Y,82.799999999999997
8Y,10Y,81.700000000000003
8Y,15Y,78.900000000000006
8Y,20Y,77.900000000000006
8Y,25Y,77.200000000000003
8Y,30Y,77
9Y,1Y,85.5
9Y,2Y,84.799999999999997
9Y,3Y,84.200000000000003
9Y,4Y,83.799999999999997
9Y,5Y,83.5
9Y,7Y,82.5
9Y,10Y,81.299999999999997
9Y,15Y,78.5
9Y,20Y,77.5
9Y,25Y,76.799999999999997
9Y,30Y,76.599999999999994
10Y,1Y,84.900000000000006
10Y,2Y,84.200000000000003
10Y,3Y,83.599999999999994
10Y,4Y,83.400000000000006
10Y,5Y,83.200000000000003
10Y,7Y,82
10Y,10Y,80.700000000000003
10Y,15Y,77.799999999999997
10Y,20Y,76.900000000000006
10Y,25Y,76.200000000000003
10Y,30Y,76
15Y,1Y,83.200000000000003
15Y,2Y,82.5
15Y,3Y,81.799999999999997
15Y,4Y,81.200000000000003
15Y,5Y,80.5
15Y,7Y,79.099999999999994
15Y,10Y,77.599999999999994
15Y,15Y,74.700000000000003
15Y,20Y,73.799999999999997
15Y,25Y,73.200000000000003
15Y,30Y,73
20Y,1Y,80.599999999999994
20Y,2Y,80.299999999999997
20Y,3Y,79.200000000000003
20Y,4Y,78.200000000000003
20Y,5Y,77.299999999999997
20Y,7Y,76.099999999999994
20Y,10Y,74.700000000000003
20Y,15Y,71.799999999999997
20Y,20Y,70.900000000000006
20Y,25Y,70.400000000000006
20Y,30Y,70.299999999999997
25Y,1Y,78
25Y,2Y,77.599999999999994
25Y,3Y,77.200000000000003
25Y,4Y,75.900000000000006
25Y,5Y,74.599999999999994
25Y,7Y,73.599999999999994
25Y,10Y,72.200000000000003
25Y,15Y,69.299999999999997
25Y,20Y,68.400000000000006
25Y,25Y,68
25Y,30Y,67.900000000000006
30Y,1Y,74.799999999999997
30Y,2Y,77.200000000000003
30Y,3Y,75.700000000000003
30Y,4Y,74.099999999999994
30Y,5Y,72.400000000000006
30Y,7Y,71
30Y,10Y,68.700000000000003
30Y,15Y,65.700000000000003
30Y,20Y,65
30Y,25Y,64.700000000000003
30Y,30Y,64.599999999999994
