tenor,rate
1W,0.03636218475321331
2W,0.036374432153895506
3W,0.036405767426085853
1M,0.036550434659680373
2M,0.036994550037612817
3M,0.03736263754776098
4M,0.037746968998684252
5M,0.038094056698109224
6M,0.038517712794686423
9M,0.039296425122292138
1Y,0.039868539118721465
18M,0.039810596424522282
2Y,0.039606556433442505
3Y,0.038960627630461084
4Y,0.038599760137932849
5Y,0.03850017366974632
6Y,0.038592356563312842
7Y,0.038769482174882339
8Y,0.03900744995894178
9Y,0.039278888797989873
10Y,0.039576864029910029
12Y,0.040200870879914599
15Y,0.041020597741118686
20Y,0.041710469020169727
25Y,0.041656854362103195
30Y,0.041269746143562554
