tenor,rate
1W,0.036046000000000002
2W,0.036151000000000003
3W,0.036200000000000003
1M,0.036256799999999999
2M,0.036482500000000001
3M,0.036628099999999997
4M,0.036856
5M,0.037068500000000004
6M,0.037252
9M,0.038004999999999997
1Y,0.038711500000000003
18M,0.039100500000000003
2Y,0.039264899999999998
3Y,0.039112899999999999
4Y,0.039019999999999999
5Y,0.039095999999999999
6Y,0.039333
7Y,0.0396245
8Y,0.039937
9Y,0.040263
10Y,0.040599999999999997
12Y,0.041269600000000004
15Y,0.042152300000000004
20Y,0.042867300000000004
25Y,0.042823
30Y,0.0424386
