expiry_label,underlying_tenor,value
1M,1Y,70.72672751425371
1M,2Y,86.432662761407656
1M,3Y,83.619833021858469
1M,4Y,79.307336411002737
1M,5Y,77.795620479041801
1M,7Y,72.082660031701224
1M,10Y,64.865666419345885
1M,15Y,59.968258631136408
1M,20Y,55.970374722393984
1M,25Y,54.671062452052688
1M,30Y,53.271803083992843
3M,1Y,84.071108303064534
3M,2Y,93.402631772058257
3M,3Y,89.639542202807704
3M,4Y,86.677961862620677
3M,5Y,83.792313712337219
3M,7Y,79.16492939892936
3M,10Y,72.877888002506239
3M,15Y,68.246693923777386
3M,20Y,64.900276285091238
3M,25Y,63.422041198414703
3M,30Y,62.343264112070258
6M,1Y,96.768968183712786
6M,2Y,97.343661403398443
6M,3Y,93.448314109734895
6M,4Y,90.166688015860785
6M,5Y,86.776314714510818
6M,7Y,82.502596838059091
6M,10Y,77.244184620953092
6M,15Y,73.378349787134638
6M,20Y,70.606055669279399
6M,25Y,69.41382218751626
6M,30Y,68.626426520607012
9M,1Y,100.87594079357552
9M,2Y,98.216884244348677
9M,3Y,94.005218121114154
9M,4Y,90.810014331325149
9M,5Y,87.508626979505863
9M,7Y,83.405529837980922
9M,10Y,78.715875172194075
9M,15Y,75.420933998524802
9M,20Y,73.128897155686388
9M,25Y,72.03266369144977
9M,30Y,71.534013487087577
1Y,1Y,102.20527570364057
1Y,2Y,98.483898730677467
1Y,3Y,94.101098406823056
1Y,4Y,91.213861727744785
1Y,5Y,88.223115436133028
1Y,7Y,84.040402121813884
1Y,10Y,79.860534714151797
1Y,15Y,76.774631449173654
1Y,20Y,74.786603641310862
1Y,25Y,73.890680601264066
1Y,30Y,73.394613960034704
2Y,1Y,98.622654160428723
2Y,2Y,94.608424057513233
2Y,3Y,91.707829755512805
2Y,4Y,89.509046886561237
2Y,5Y,87.30802392748366
2Y,7Y,84.009446803786972
2Y,10Y,80.811894890923071
2Y,15Y,78.313698095180243
2Y,20Y,76.915545800873659
2Y,25Y,76.215950912339025
2Y,30Y,75.916692814823961
3Y,1Y,94.792060313850868
3Y,2Y,91.992419754401894
3Y,3Y,89.496730415658135
3Y,4Y,87.996730696275947
3Y,5Y,86.497092527980016
3Y,7Y,84.099270632540865
3Y,10Y,81.801097350106261
3Y,15Y,79.301097413195748
3Y,20Y,78.0010974476005
3Y,25Y,77.301097466605455
3Y,30Y,77.00146424466827
4Y,1Y,92.593226722371469
4Y,2Y,89.895919142956885
4Y,3Y,88.595582009138951
4Y,4Y,87.096596100460033
4Y,5Y,85.697273951272649
4Y,7Y,83.898974784239471
4Y,10Y,82.100685528245933
4Y,15Y,79.59999999999998
4Y,20Y,78.301029006451785
4Y,25Y,77.600685576441748
4Y,30Y,77.400685578713862
5Y,1Y,90.593192948549401
5Y,2Y,88.695445043121452
5Y,3Y,87.29771363743653
5Y,4Y,86.09836507698887
5Y,5Y,84.899017931426059
5Y,7Y,83.599344914591484
5Y,10Y,82.299672264891981
5Y,15Y,79.599672271627696
5Y,20Y,78.599344964335131
5Y,25Y,77.799672276377905
5Y,30Y,77.599672276919307
6Y,1Y,88.487697323289112
6Y,2Y,87.2924082485588
6Y,3Y,86.591464501718917
6Y,4Y,85.593353957720907
6Y,5Y,84.596195746782968
6Y,7Y,83.398095673189928
6Y,10Y,82.198095706246733
6Y,15Y,79.49809578427336
6Y,20Y,78.399047306606093
6Y,25Y,77.699047312031198
6Y,30Y,77.498095845576103
7Y,1Y,87.200000000000003
7Y,2Y,86.5
7Y,3Y,85.700000000000003
7Y,4Y,84.899999999999991
7Y,5Y,84.200000000000003
7Y,7Y,83.200000000000003
7Y,10Y,82
7Y,15Y,79.299999999999997
7Y,20Y,78.299999999999997
7Y,25Y,77.599999999999994
7Y,30Y,77.299999999999997
8Y,1Y,86.200000000000003
8Y,2Y,85.5
8Y,3Y,84.700000000000017
8Y,4Y,84.299999999999997
8Y,5Y,83.800000000000011
8Y,7Y,82.800000000000011
8Y,10Y,81.700000000000003
8Y,15Y,78.90000000000002
8Y,20Y,77.900000000000006
8Y,25Y,77.200000000000017
8Y,30Y,77.000000000000014
9Y,1Y,85.498184666640995
9Y,2Y,84.798184719246791
9Y,3Y,84.198184765033659
9Y,4Y,83.798788419047227
9Y,5Y,83.499090778293478
9Y,7Y,82.498486498019417
9Y,10Y,81.298184995864261
9Y,15Y,78.497884123738558
9Y,20Y,77.498185324481383
9Y,25Y,76.798185388563155
9Y,30Y,76.598185407087357
10Y,1Y,84.898617706345803
10Y,2Y,84.198617822469629
10Y,3Y,83.598537508448715
10Y,4Y,83.398216886705725
10Y,5Y,83.19781836222154
10Y,7Y,81.997660227047703
10Y,10Y,80.697502740764946
10Y,15Y,77.797504562254744
10Y,20Y,76.897505155479294
10Y,25Y,76.197584474655244
10Y,30Y,75.997584602199993
15Y,1Y,83.19813132477455
15Y,2Y,82.498415134776209
15Y,3Y,81.798131832075498
15Y,4Y,81.197850069981783
15Y,5Y,80.497710016750503
15Y,7Y,79.09785114347801
15Y,10Y,77.59792218428835
15Y,15Y,74.697923719199764
15Y,20Y,73.797924220079864
15Y,25Y,73.197994732244723
15Y,30Y,72.998065102864686
20Y,1Y,80.598249728144467
20Y,2Y,80.298183670798011
20Y,3Y,79.198648846868636
20Y,4Y,78.198449444442147
20Y,5Y,77.298184875378738
20Y,7Y,76.098317553520346
20Y,10Y,74.698318079760895
20Y,15Y,71.798319235114846
20Y,20Y,70.898319612890944
20Y,25Y,70.398385868339147
20Y,30Y,70.298385908129376
25Y,1Y,78
25Y,2Y,77.600000000000009
25Y,3Y,77.200000000000003
25Y,4Y,75.900000000000006
25Y,5Y,74.599999999999994
25Y,7Y,73.599999999999994
25Y,10Y,72.200000000000003
25Y,15Y,69.299999999999997
25Y,20Y,68.400000000000006
25Y,25Y,68
25Y,30Y,67.900000000000006
30Y,1Y,74.800000000000011
30Y,2Y,77.199999999999989
30Y,3Y,75.700000000000003
30Y,4Y,74.099999999999994
30Y,5Y,72.400000000000006
