expiry_label,underlying_tenor,value
1M,1Y,78.331503851077329
1M,2Y,97.726987574332327
1M,3Y,93.835574712446757
1M,4Y,88.840996453868769
1M,5Y,86.584767511769556
1M,7Y,80.392021993365148
1M,10Y,72.282825561711149
1M,15Y,66.911244220642004
1M,20Y,62.746450731017639
1M,25Y,61.527472080090028
1M,30Y,60.04820651504204
3M,1Y,89.6737584062503
3M,2Y,99.688116564037742
3M,3Y,95.977010269642378
3M,4Y,92.776538710216897
3M,5Y,89.560425532953673
3M,7Y,83.689205623705774
3M,10Y,77.138853984147929
3M,15Y,72.550942556015229
3M,20Y,69.162097982994581
3M,25Y,67.764430160241972
3M,30Y,66.671007394648697
6M,1Y,101.92163494402406
6M,2Y,102.63012531327165
6M,3Y,98.232211560952408
6M,4Y,94.400834291831401
6M,5Y,90.666193336074656
6M,7Y,85.719302589615879
6M,10Y,80.325340972123925
6M,15Y,76.241821742564639
6M,20Y,73.260099696668192
6M,25Y,72.05756445425591
6M,30Y,71.177193169944047
9M,1Y,103.47309633123159
9M,2Y,101.00226103402916
9M,3Y,96.486813092110395
9M,4Y,92.991226578522429
9M,5Y,89.587993398568912
9M,7Y,85.089662695178149
9M,10Y,80.300123670154221
9M,15Y,76.909760807503417
9M,20Y,74.521804316107719
9M,25Y,73.423183056346033
9M,30Y,72.926795185435793
1Y,1Y,104.77731440061953
1Y,2Y,100.94162177967566
1Y,3Y,96.049513420388521
1Y,4Y,92.855669537543889
1Y,5Y,89.657459567313097
1Y,7Y,85.362924970420011
1Y,10Y,81.072607084752136
1Y,15Y,78.078268452374019
1Y,20Y,76.183568573157771
1Y,25Y,75.185601013465245
1Y,30Y,74.787687158070142
2Y,1Y,99.748487675244476
2Y,2Y,95.760294775571339
2Y,3Y,92.76742648567334
2Y,4Y,90.474590218806583
2Y,5Y,88.181793930130638
2Y,7Y,84.795115322424209
2Y,10Y,81.606138624748624
2Y,15Y,79.10613921001999
2Y,20Y,77.608606315203289
2Y,25Y,76.908606662595176
2Y,30Y,76.608606813420806
3Y,1Y,95.5
3Y,2Y,92.499999999999986
3Y,3Y,90.099999999999994
3Y,4Y,88.399999999999991
3Y,5Y,86.699999999999989
3Y,7Y,84.399999999999991
3Y,10Y,82.09999999999998
3Y,15Y,79.59999999999998
3Y,20Y,78.299999999999983
3Y,25Y,77.59999999999998
3Y,30Y,77.299999999999997
4Y,1Y,92.699999999999989
4Y,2Y,89.999999999999986
4Y,3Y,88.499999999999986
4Y,4Y,87.09999999999998
4Y,5Y,85.799999999999983
4Y,7Y,84.09999999999998
4Y,10Y,82.299999999999997
4Y,15Y,79.899999999999991
4Y,20Y,78.699999999999989
4Y,25Y,77.999999999999986
4Y,30Y,77.699999999999989
5Y,1Y,90.09415596667246
5Y,2Y,88.0967392142405
5Y,3Y,86.998365027897407
5Y,4Y,86.09836507698887
5Y,5Y,85.098365132752804
5Y,7Y,83.799017954167752
5Y,10Y,82.299672264891981
5Y,15Y,79.69967227137009
5Y,20Y,78.699344963278321
5Y,25Y,77.999672275839274
5Y,30Y,77.699672276648272
6Y,1Y,88.295876360457783
6Y,2Y,87.097772124548385
6Y,3Y,86.497772186699862
6Y,4Y,85.598089410665779
6Y,5Y,84.599361657198287
6Y,7Y,83.49936166711845
6Y,10Y,82.199680645838939
6Y,15Y,79.59904315699977
6Y,20Y,78.5
6Y,25Y,77.899680656533874
6Y,30Y,77.599680657324271
7Y,1Y,86.997507137131763
7Y,2Y,86.397197244377978
7Y,3Y,85.797197346677919
7Y,4Y,84.998439375887756
7Y,5Y,84.399062535847477
7Y,7Y,83.299062557819454
7Y,10Y,82.099374674865601
7Y,15Y,79.299374701707947
7Y,20Y,78.499062660903419
7Y,25Y,77.799062676999256
7Y,30Y,77.499374719987969
8Y,1Y,86.194502744396942
8Y,2Y,85.495416419614273
8Y,3Y,84.896331064902341
8Y,4Y,84.496331105537948
8Y,5Y,84.097246735074506
8Y,7Y,82.99724679967612
8Y,10Y,81.896331379345057
8Y,15Y,79.097247043196731
8Y,20Y,78.197247102843363
8Y,25Y,77.497247150192976
8Y,30Y,77.29724716387895
9Y,1Y,85.599999999999994
9Y,2Y,85
9Y,3Y,84.5
9Y,4Y,84.099999999999994
9Y,5Y,83.799999999999997
9Y,7Y,82.700000000000003
9Y,10Y,81.499999999999986
9Y,15Y,78.799999999999997
9Y,20Y,77.900000000000006
9Y,25Y,77.200000000000003
9Y,30Y,76.999999999999986
10Y,1Y,85.098457442315933
10Y,2Y,84.498457565871021
10Y,3Y,83.698457733366695
10Y,4Y,83.498137616464845
10Y,5Y,83.297739720531723
10Y,7Y,82.197581819714387
10Y,10Y,80.897424622643356
10Y,15Y,78.197347721877478
10Y,20Y,77.397348312313071
10Y,25Y,76.69750619959396
10Y,30Y,76.497506333962505
