expiry_label,underlying_tenor,value
1M,1Y,80.01285705544737
1M,2Y,87.367772339922624
1M,3Y,84.000489808925749
1M,4Y,80.20575374053773
1M,5Y,76.939315898468237
1M,7Y,71.041458785762472
1M,10Y,65.436290932459229
1M,15Y,62.198138170853902
1M,20Y,59.690561095094473
1M,25Y,59.573033953752443
1M,30Y,59.572183275305079
3M,1Y,84.314175751803091
3M,2Y,88.592832526533826
3M,3Y,85.293622732487435
3M,4Y,82.607773752373163
3M,5Y,79.915679781277035
3M,7Y,75.239696297077515
3M,10Y,69.664207473947158
3M,15Y,66.755240938495234
3M,20Y,64.651178080209363
3M,25Y,63.741087684421501
3M,30Y,63.034845894450733
6M,1Y,90.232809705736926
6M,2Y,90.468944367724475
6M,3Y,87.168068763802879
6M,4Y,84.65559588830088
6M,5Y,82.043333365728316
6M,7Y,77.95169408419288
6M,10Y,73.162575499873512
6M,15Y,70.061574477889792
6M,20Y,67.86472641194888
6M,25Y,66.86052958391646
6M,30Y,66.164698221914392
9M,1Y,93.384800078540692
9M,2Y,91.834950415657516
9M,3Y,88.710101640737378
9M,4Y,85.713799260543368
9M,5Y,82.714313309171203
9M,7Y,79.013740339077245
9M,10Y,74.916675690531349
9M,15Y,71.918766422730513
9M,20Y,69.920170372343676
9M,25Y,68.917394327569411
9M,30Y,68.516080443773333
1Y,1Y,96.480766554502935
1Y,2Y,93.461863461217447
1Y,3Y,89.368931391303562
1Y,4Y,86.671474585308928
1Y,5Y,83.874571282946462
1Y,7Y,80.179496446170276
1Y,10Y,76.384672988825457
1Y,15Y,73.584971543115287
1Y,20Y,71.689430255309816
1Y,25Y,70.689801097767912
1Y,30Y,70.289639649164698
2Y,1Y,93.989471056137077
2Y,2Y,90.691075579432209
2Y,3Y,88.192684038115885
2Y,4Y,85.994297986101657
2Y,5Y,83.89591821700003
2Y,7Y,80.899589637315316
2Y,10Y,78.003301699269571
2Y,15Y,75.403717502771329
2Y,20Y,74.104133745776295
2Y,25Y,73.404134008896079
2Y,30Y,73.104134123204204
3Y,1Y,91.400000000000006
3Y,2Y,88.5
3Y,3Y,86.400000000000006
3Y,4Y,84.599999999999994
3Y,5Y,82.900000000000006
3Y,7Y,80.799999999999997
3Y,10Y,78.799999999999997
3Y,15Y,76.299999999999997
3Y,20Y,75.100000000000009
3Y,25Y,74.399999999999991
3Y,30Y,74.100000000000009
4Y,1Y,88.799999999999997
4Y,2Y,86.299999999999997
4Y,3Y,85
4Y,4Y,83.5
4Y,5Y,82.099999999999994
4Y,7Y,80.59999999999998
4Y,10Y,79.099999999999994
4Y,15Y,76.5
4Y,20Y,75.400000000000006
4Y,25Y,74.699999999999989
4Y,30Y,74.5
5Y,1Y,86.899999999999991
5Y,2Y,84.900000000000006
5Y,3Y,83.59999999999998
5Y,4Y,82.700000000000003
5Y,5Y,81.700000000000003
5Y,7Y,80.400000000000006
5Y,10Y,78.899999999999991
5Y,15Y,76.299999999999983
5Y,20Y,75.200000000000003
5Y,25Y,74.5
5Y,30Y,74.299999999999983
