expiry_label,underlying_tenor,value
1M,1Y,74.099999999999994
1M,2Y,93
1M,3Y,89.900000000000006
1M,4Y,84.599999999999994
1M,5Y,82.400000000000006
1M,7Y,77.299999999999997
1M,10Y,69.5
1M,15Y,64.299999999999997
1M,20Y,60
1M,25Y,58.600000000000001
1M,30Y,57.100000000000001
3M,1Y,87.599999999999994
3M,2Y,98.200000000000003
3M,3Y,94.5
3M,4Y,91.299999999999997
3M,5Y,88
3M,7Y,82.700000000000003
3M,10Y,76.700000000000003
3M,15Y,71.799999999999997
3M,20Y,68.299999999999997
3M,25Y,66.799999999999997
3M,30Y,65.700000000000003
6M,1Y,100.2
6M,2Y,101.09999999999999
6M,3Y,97.099999999999994
6M,4Y,93.700000000000003
6M,5Y,90.299999999999997
6M,7Y,85.5
6M,10Y,80.200000000000003
6M,15Y,76
6M,20Y,73
6M,25Y,71.700000000000003
6M,30Y,70.900000000000006
9M,1Y,103.09999999999999
9M,2Y,100.7
9M,3Y,96.5
9M,4Y,93.200000000000003
9M,5Y,90
9M,7Y,85.5
9M,10Y,80.700000000000003
9M,15Y,77.200000000000003
9M,20Y,74.799999999999997
9M,25Y,73.700000000000003
9M,30Y,73.099999999999994
1Y,1Y,104.5
1Y,2Y,100.59999999999999
1Y,3Y,96.099999999999994
1Y,4Y,93.099999999999994
1Y,5Y,90
1Y,7Y,85.799999999999997
1Y,10Y,81.5
1Y,15Y,78.400000000000006
1Y,20Y,76.400000000000006
1Y,25Y,75.5
1Y,30Y,75
2Y,1Y,100.09999999999999
2Y,2Y,96.200000000000003
2Y,3Y,93.299999999999997
2Y,4Y,91
2Y,5Y,88.700000000000003
2Y,7Y,85.400000000000006
2Y,10Y,82.200000000000003
2Y,15Y,79.700000000000003
2Y,20Y,78.200000000000003
2Y,25Y,77.5
2Y,30Y,77.200000000000003
3Y,1Y,95.900000000000006
3Y,2Y,92.900000000000006
3Y,3Y,90.5
3Y,4Y,89
3Y,5Y,87.5
3Y,7Y,85.099999999999994
3Y,10Y,82.700000000000003
3Y,15Y,80.200000000000003
3Y,20Y,78.900000000000006
3Y,25Y,78.200000000000003
3Y,30Y,78
4Y,1Y,93.799999999999997
4Y,2Y,90.799999999999997
4Y,3Y,89.5
4Y,4Y,88
4Y,5Y,86.5
