expiry_label,underlying_tenor,value
4Y,7Y,84.799999999999997
4Y,10Y,83
4Y,15Y,80.5
4Y,20Y,79.299999999999997
4Y,25Y,78.700000000000003
4Y,30Y,78.400000000000006
5Y,1Y,91.400000000000006
5Y,2Y,89.5
5Y,3Y,88.099999999999994
5Y,4Y,86.900000000000006
5Y,5Y,85.700000000000003
5Y,7Y,84.400000000000006
5Y,10Y,83
5Y,15Y,80.5
5Y,20Y,79.5
5Y,25Y,78.900000000000006
5Y,30Y,78.599999999999994
6Y,1Y,89.400000000000006
6Y,2Y,88.200000000000003
6Y,3Y,87.299999999999997
6Y,4Y,86.299999999999997
6Y,5Y,85.299999999999997
6Y,7Y,84.099999999999994
6Y,10Y,82.900000000000006
6Y,15Y,80.299999999999997
6Y,20Y,79.299999999999997
6Y,25Y,78.700000000000003
6Y,30Y,78.5
7Y,1Y,88
7Y,2Y,87.200000000000003
7Y,3Y,86.400000000000006
7Y,4Y,85.599999999999994
7Y,5Y,84.900000000000006
7Y,7Y,83.900000000000006
7Y,10Y,82.799999999999997
7Y,15Y,80
7Y,20Y,79.200000000000003
7Y,25Y,78.5
7Y,30Y,78.299999999999997
8Y,1Y,87
8Y,2Y,86.299999999999997
8Y,3Y,85.5
8Y,4Y,85
8Y,5Y,84.599999999999994
8Y,7Y,83.599999999999994
8Y,10Y,82.5
8Y,15Y,79.700000000000003
8Y,20Y,78.900000000000006
8Y,25Y,78.200000000000003
8Y,30Y,78
9Y,1Y,86.299999999999997
9Y,2Y,85.599999999999994
9Y,3Y,85
9Y,4Y,84.599999999999994
9Y,5Y,84.200000000000003
9Y,7Y,83.200000000000003
9Y,10Y,82.099999999999994
9Y,15Y,79.299999999999997
9Y,20Y,78.5
9Y,25Y,77.799999999999997
9Y,30Y,77.599999999999994
10Y,1Y,85.799999999999997
10Y,2Y,85
10Y,3Y,84.299999999999997
10Y,4Y,84.099999999999994
10Y,5Y,83.900000000000006
10Y,7Y,82.700000000000003
10Y,10Y,81.5
10Y,15Y,78.700000000000003
10Y,20Y,77.900000000000006
10Y,25Y,77.200000000000003
10Y,30Y,77
15Y,1Y,83.799999999999997
15Y,2Y,83.200000000000003
15Y,3Y,82.299999999999997
15Y,4Y,81.700000000000003
15Y,5Y,81.099999999999994
15Y,7Y,79.700000000000003
15Y,10Y,78.099999999999994
15Y,15Y,75.299999999999997
15Y,20Y,74.5
15Y,25Y,73.900000000000006
15Y,30Y,73.799999999999997
20Y,1Y,81.200000000000003
20Y,2Y,80.900000000000006
20Y,3Y,79.700000000000003
20Y,4Y,78.799999999999997
20Y,5Y,77.900000000000006
20Y,7Y,76.700000000000003
20Y,10Y,75.200000000000003
20Y,15Y,72.400000000000006
20Y,20Y,71.599999999999994
20Y,25Y,71.200000000000003
20Y,30Y,71
25Y,1Y,78.599999999999994
25Y,2Y,78.099999999999994
25Y,3Y,77.700000000000003
25Y,4Y,76.400000000000006
25Y,5Y,75.099999999999994
25Y,7Y,74.200000000000003
25Y,10Y,72.700000000000003
25Y,15Y,69.799999999999997
25Y,20Y,69.099999999999994
25Y,25Y,68.700000000000003
25Y,30Y,68.599999999999994
30Y,1Y,75.400000000000006
30Y,2Y,77.799999999999997
30Y,3Y,76.200000000000003
30Y,4Y,74.599999999999994
30Y,5Y,72.900000000000006
30Y,7Y,71.5
30Y,10Y,69.200000000000003
30Y,15Y,66.299999999999997
30Y,20Y,65.700000000000003
30Y,25Y,65.400000000000006
30Y,30Y,65.299999999999997
