tenor,rate
1W,0.036052000000000001
2W,0.036091999999999999
3W,0.036089999999999997
1M,0.036186999999999997
2M,0.036429999999999997
3M,0.036650999999999996
4M,0.036949999999999997
5M,0.037220000000000003
6M,0.037490000000000002
9M,0.038403
1Y,0.039257
18M,0.039792999999999995
2Y,0.040041500000000001
3Y,0.0399575
4Y,0.039897999999999996
5Y,0.039997499999999998
6Y,0.040227499999999999
7Y,0.040503999999999998
8Y,0.0407975
9Y,0.041105000000000003
10Y,0.041426999999999999
12Y,0.042066199999999998
15Y,0.042906000000000007
20Y,0.043575000000000003
25Y,0.043483899999999999
30Y,0.043067500000000002
