Expiry,1Y,2Y,5Y,10Y,15Y,20Y,30Y
1M,81.75,89.430000000000007,81.569999999999993,72.549999999999997,69.450000000000003,66.930000000000007,66.5
3M,88.060000000000002,91.840000000000003,84.329999999999998,74.359999999999999,71.009999999999991,68.509999999999991,66.310000000000002
6M,92.310000000000002,91.819999999999993,84.560000000000002,75.980000000000004,72.549999999999997,70.069999999999993,68.790000000000006
9M,94.980000000000004,93.109999999999999,84.730000000000004,77.209999999999994,74.160000000000011,71.980000000000004,70.430000000000007
1Y,97.510000000000005,94.469999999999999,85.280000000000001,78.339999999999989,75.560000000000002,73.480000000000004,71.909999999999997
2Y,95.359999999999999,92.359999999999999,85.269999999999996,79.670000000000002,77.060000000000002,75.560000000000002,74.5
3Y,92.819999999999993,89.819999999999993,84.310000000000002,80.359999999999999,77.780000000000001,76.47999999999999,75.459999999999994
5Y,88.490000000000009,86.260000000000005,83.079999999999998,80.579999999999998,77.88000000000001,76.75,75.799999999999997
7Y,85.230000000000004,84.409999999999997,81.989999999999995,80.259999999999991,77.450000000000003,76.410000000000011,75.52000000000001
10Y,83.579999999999998,82.590000000000003,81.450000000000003,79.210000000000008,76.409999999999997,75.389999999999986,74.469999999999999
15Y,81.269999999999996,80.820000000000007,78.739999999999995,76.200000000000003,73.280000000000001,72.160000000000011,71.459999999999994
20Y,79.290000000000006,79.050000000000011,75.650000000000006,73.379999999999995,70.390000000000001,69.399999999999991,68.820000000000007
30Y,73.430000000000007,75.409999999999997,70.740000000000009,67.269999999999996,64.719999999999999,63.950000000000003,64.149999999999991
