Expiry,1Y,2Y,5Y,10Y,15Y,20Y,30Y
1M,165.75999999999999,171.40000000000001,158.95999999999998,147.99000000000001,145.68000000000001,143.56999999999999,131.99000000000001
3M,157.43000000000001,140.62,130.09999999999999,122.3,116.28,110.81,108.47
6M,143.28999999999999,139.25,110.5,107.53,100.8,94.769999999999996,96.329999999999998
9M,135.19,127.84999999999999,105.73999999999999,100.18000000000001,95.599999999999994,91.530000000000001,91.799999999999997
1Y,125.65000000000001,115.59,100.59999999999999,92.219999999999999,89.700000000000003,87.580000000000013,86.849999999999994
2Y,98.900000000000006,99.150000000000006,89.739999999999995,85.420000000000002,83.260000000000005,81.800000000000011,80.719999999999999
3Y,89.539999999999992,91.719999999999999,84.349999999999994,80.990000000000009,78.490000000000009,76.839999999999989,76.530000000000001
5Y,81.890000000000001,83.570000000000007,81.149999999999991,77.059999999999988,74.63000000000001,73.399999999999991,72.780000000000001
7Y,79.379999999999995,80.039999999999992,78.47999999999999,75.079999999999998,72.950000000000003,72.219999999999999,71.560000000000002
10Y,78.299999999999997,77.510000000000005,74.77000000000001,70.450000000000003,68.409999999999997,67.86999999999999,66.989999999999995
15Y,76.069999999999993,76.310000000000002,72.760000000000005,68,65.780000000000001,65.079999999999998,65.439999999999998
20Y,74.920000000000002,75.290000000000006,69.489999999999995,65.039999999999992,63.069999999999993,62.789999999999999,63.440000000000005
30Y,70.640000000000001,73.019999999999996,65.730000000000004,61.409999999999997,59.700000000000003,59.280000000000001,57.739999999999995
