Expiry,1Y,2Y,5Y,10Y,15Y,20Y,30Y
1M,176.97,185.46000000000001,179.97,171.22,167.44,164.30000000000001,156.36000000000001
3M,167.55000000000001,155.57999999999998,151.50999999999999,142.09,134.47,127.83,121.72
6M,151.38,143.36000000000001,128.44999999999999,123.09,115.29000000000001,108.5,109.66
9M,142.06999999999999,133.63,120.7,116.04000000000001,110.45000000000002,105.77,105.17
1Y,131.97,123.56,113.09999999999999,108.51000000000001,105.08,102.40000000000001,100.28
2Y,112.90000000000001,115.15000000000001,104.98999999999999,102.01000000000001,98.540000000000006,96.239999999999995,95.370000000000005
3Y,109.5,107.7,101.36,99.260000000000005,95.590000000000003,93.260000000000005,92.340000000000003
5Y,103.79000000000001,100.97,98.620000000000005,97.269999999999996,93.840000000000003,92.049999999999997,91.010000000000005
7Y,99.700000000000003,99.349999999999994,96.239999999999995,95.790000000000006,92.879999999999995,91.760000000000005,90.780000000000001
10Y,96.579999999999998,95.879999999999995,95.450000000000003,93.379999999999995,90.409999999999997,89.239999999999995,88.269999999999996
15Y,92.670000000000002,93.569999999999993,91.569999999999993,89.810000000000002,86.38000000000001,84.780000000000001,84.450000000000003
20Y,90.109999999999999,91.140000000000001,87.469999999999999,86.099999999999994,82.629999999999995,81.150000000000006,80.390000000000001
30Y,83.450000000000003,86.059999999999988,81.75,78.069999999999993,74.939999999999998,73.659999999999997,74.429999999999993
