Expiry,1Y,2Y,5Y,10Y,15Y,20Y,30Y
1M,93.819999999999993,101.3,94.730000000000004,86.510000000000005,83.450000000000003,80.960000000000008,79.340000000000003
3M,97.010000000000005,98.549999999999997,92.200000000000003,82.670000000000002,78.72999999999999,75.61999999999999,72.689999999999998
6M,97.939999999999998,96.219999999999999,89.050000000000011,80.959999999999994,77,73.989999999999995,73.040000000000006
9M,98.969999999999999,96.329999999999998,88.140000000000001,81.140000000000001,77.800000000000011,75.340000000000003,73.88000000000001
1Y,100.09999999999999,96.700000000000003,87.730000000000004,81.309999999999988,78.460000000000008,76.320000000000007,74.640000000000001
2Y,96.969999999999999,94.489999999999995,87.159999999999997,81.879999999999995,79.160000000000011,77.560000000000002,76.530000000000001
3Y,94.640000000000001,91.569999999999993,86.060000000000002,82.350000000000009,79.640000000000001,78.22999999999999,77.189999999999998
5Y,90.290000000000006,87.850000000000009,84.75,82.459999999999994,79.670000000000002,78.469999999999999,77.5
7Y,86.920000000000002,86.099999999999994,83.579999999999998,82.060000000000002,79.230000000000004,78.170000000000002,77.260000000000005
10Y,85.089999999999989,84.120000000000005,83.13000000000001,80.990000000000009,78.150000000000006,77.089999999999989,76.170000000000002
15Y,82.599999999999994,82.27000000000001,80.260000000000005,77.890000000000001,74.900000000000006,73.710000000000008,73.009999999999991
20Y,80.519999999999996,80.390000000000001,77.069999999999993,74.97999999999999,71.909999999999997,70.829999999999998,70.189999999999998
30Y,74.510000000000005,76.529999999999987,72.02000000000001,68.569999999999993,65.920000000000002,65.079999999999998,65.409999999999997
