Expiry,3M
1Y,132.09999999999999
2Y,133.09999999999999
3Y,117.09999999999999
4Y,106.2
5Y,101.3
6Y,98.900000000000006
7Y,96.900000000000006
8Y,95.099999999999994
9Y,93.400000000000006
10Y,92
12Y,89.700000000000003
15Y,87.5
20Y,84.799999999999997
25Y,82.200000000000003
30Y,79.700000000000003
