Expiry,1Y,2Y,5Y,10Y,15Y,20Y,30Y
1M,121.85999999999999,129.41,123.78999999999999,115.84,112.62,109.97999999999999,106.06
3M,119.9,116.4,111.4,102.28,97.07,92.72,88.58
6M,114.2,110.03999999999999,100.98,94.02,88.77000000000001,84.49,84.31
9M,111.39,106.76,97.63,91.65,87.58000000000001,84.4,83.24000000000001
1Y,108.68,103.84,94.78999999999999,89.25,86.24000000000001,83.94,82.08
2Y,101.29,100.23,92.13,87.64,84.67,82.84,81.88
3Y,98.96,96.07,90.42,87.24000000000001,84.24000000000001,82.55,81.52
5Y,94.36,91.64,88.75999999999999,86.86,83.87,82.49,81.49
7Y,90.75,90.02,87.28999999999999,86.19,83.31,82.23,81.29
10Y,88.50999999999999,87.62,86.88000000000001,84.84,81.94,80.83,79.89999999999999
15Y,85.6,85.62,83.67,81.59,78.45,77.11,76.49
20Y,83.34,83.54,80.22,78.44,75.22,74.0,73.27000000000001
30Y,77.07000000000001,79.24,74.93,71.45,68.64,67.65,68.17999999999999
