expiry,tenor,is_target,bias,expiry_years,tenor_years,terminal,n_obs,zone,effective_bias
4Y,2Y,False,-0.08602440976230455,4.0,2.0,6.0,253,outside,0.0
4Y,3Y,False,-0.08143270357353251,4.0,3.0,7.0,253,callable_lower,-0.2
4Y,4Y,False,-0.09520081396398411,4.0,4.0,8.0,253,callable_lower,-0.2
4Y,5Y,False,-0.1450073348204509,4.0,5.0,9.0,253,callable_bench,0.0
4Y,7Y,False,-0.36869059290816586,4.0,7.0,11.0,253,callable_upper,-0.4
4Y,10Y,False,-0.19345448145021804,4.0,10.0,14.0,253,callable_bench,0.0
4Y,15Y,False,-0.2960710199085303,4.0,15.0,19.0,253,callable_upper,-0.4
4Y,20Y,False,-0.15211946170976207,4.0,20.0,24.0,253,callable_bench,0.0
4Y,25Y,False,-0.24319744153553993,4.0,25.0,29.0,253,callable_upper,-0.4
4Y,30Y,False,-0.13965947584619742,4.0,30.0,34.0,253,outside,0.0
5Y,1Y,True,0.0,5.0,1.0,6.0,0,target,0.0
5Y,2Y,True,0.0,5.0,2.0,7.0,0,target,0.0
5Y,3Y,False,-0.05592442373031731,5.0,3.0,8.0,253,callable_lower,-0.2
5Y,4Y,False,-0.03380808921680528,5.0,4.0,9.0,253,callable_lower,-0.2
5Y,5Y,True,0.0,5.0,5.0,10.0,0,target,0.0
5Y,7Y,False,-0.18551214523769372,5.0,7.0,12.0,253,callable_upper,-0.4
5Y,10Y,True,0.0,5.0,10.0,15.0,0,target,0.0
5Y,15Y,False,-0.2281414832812034,5.0,15.0,20.0,253,callable_upper,-0.4
5Y,20Y,True,0.0,5.0,20.0,25.0,0,target,0.0
5Y,25Y,False,-0.09935216968765213,5.0,25.0,30.0,253,callable_upper,-0.4
5Y,30Y,True,0.0,5.0,30.0,35.0,0,target,0.0
6Y,1Y,False,-0.07164187707562901,6.0,1.0,7.0,253,callable_bench,0.0
6Y,2Y,False,0.046248780240456144,6.0,2.0,8.0,253,callable_bench,0.0
6Y,3Y,False,-0.08549801083898204,6.0,3.0,9.0,253,callable_lower,-0.2
6Y,4Y,False,-0.042602509067016146,6.0,4.0,10.0,253,callable_lower,-0.2
6Y,5Y,False,0.02737190883180967,6.0,5.0,11.0,253,callable_bench,0.0
6Y,7Y,False,-0.1332745815160272,6.0,7.0,13.0,253,callable_upper,-0.4
6Y,10Y,False,0.036215151521844686,6.0,10.0,16.0,253,callable_bench,0.0
6Y,15Y,False,-0.25825023545584824,6.0,15.0,21.0,253,callable_upper,-0.4
6Y,20Y,False,0.0462491233559486,6.0,20.0,26.0,253,callable_bench,0.0
6Y,25Y,False,-0.046199579215968435,6.0,25.0,31.0,253,outside,0.0
6Y,30Y,False,0.047728751278512,6.0,30.0,36.0,253,outside,0.0
7Y,1Y,False,-0.13133366323827628,7.0,1.0,8.0,253,callable_bench,0.0
7Y,2Y,False,0.04985294321502695,7.0,2.0,9.0,253,callable_bench,0.0
7Y,3Y,False,-0.1084906381036705,7.0,3.0,10.0,253,callable_lower,-0.2
7Y,4Y,False,-0.08908535804971822,7.0,4.0,11.0,253,callable_lower,-0.2
7Y,5Y,False,0.03560949527666974,7.0,5.0,12.0,253,callable_bench,0.0
7Y,7Y,False,-0.08202052634355168,7.0,7.0,14.0,253,callable_lower,-0.2
7Y,10Y,False,0.1163703457592152,7.0,10.0,17.0,253,callable_bench,0.0
7Y,15Y,False,-0.2293990620737017,7.0,15.0,22.0,253,callable_upper,-0.4
7Y,20Y,False,0.12055955710991592,7.0,20.0,27.0,253,callable_bench,0.0
7Y,25Y,False,0.03262691224974205,7.0,25.0,32.0,253,outside,0.0
7Y,30Y,False,0.13235434319981923,7.0,30.0,37.0,253,outside,0.0
8Y,1Y,False,-0.1799570648947004,8.0,1.0,9.0,253,callable_bench,0.0
8Y,2Y,False,-0.04983454769843236,8.0,2.0,10.0,253,callable_bench,0.0
8Y,3Y,False,-0.2030454551552651,8.0,3.0,11.0,253,callable_lower,-0.2
8Y,4Y,False,-0.20422716429082452,8.0,4.0,12.0,253,callable_lower,-0.2
8Y,5Y,False,-0.13526281369787976,8.0,5.0,13.0,253,callable_bench,0.0
8Y,7Y,False,-0.20079578712298254,8.0,7.0,15.0,253,callable_lower,-0.2
8Y,10Y,False,-0.02834752012182409,8.0,10.0,18.0,253,callable_bench,0.0
8Y,15Y,False,-0.37969856432741295,8.0,15.0,23.0,253,callable_upper,-0.4
8Y,20Y,False,0.02458306591938034,8.0,20.0,28.0,253,callable_bench,0.0
8Y,25Y,False,-0.0517039023536217,8.0,25.0,33.0,253,outside,0.0
8Y,30Y,False,0.04227596896525654,8.0,30.0,38.0,253,outside,0.0
9Y,1Y,False,-0.12523708178885323,9.0,1.0,10.0,253,callable_bench,0.0
9Y,2Y,False,-0.06133264127066004,9.0,2.0,11.0,253,callable_bench,0.0
9Y,3Y,False,-0.16507804911560153,9.0,3.0,12.0,253,callable_lower,-0.2
9Y,4Y,False,-0.18615328855420343,9.0,4.0,13.0,253,callable_lower,-0.2
9Y,5Y,False,-0.15251782157055127,9.0,5.0,14.0,253,callable_bench,0.0
9Y,7Y,False,-0.17227461191920515,9.0,7.0,16.0,253,callable_lower,-0.2
9Y,10Y,False,-0.07091960124435896,9.0,10.0,19.0,253,callable_bench,0.0
9Y,15Y,False,-0.448738610639627,9.0,15.0,24.0,253,callable_upper,-0.4
9Y,20Y,False,-0.023568629742477837,9.0,20.0,29.0,253,callable_bench,0.0
9Y,25Y,False,-0.10222659998805514,9.0,25.0,34.0,253,outside,0.0
9Y,30Y,False,9.86816514212212e-05,9.0,30.0,39.0,253,outside,0.0
10Y,1Y,True,0.0,10.0,1.0,11.0,0,target,0.0
10Y,2Y,True,0.0,10.0,2.0,12.0,0,target,0.0
10Y,3Y,False,-0.043198987366121336,10.0,3.0,13.0,253,callable_lower,-0.2
10Y,4Y,False,-0.05178471184170626,10.0,4.0,14.0,253,callable_lower,-0.2
10Y,5Y,True,0.0,10.0,5.0,15.0,0,target,0.0
10Y,7Y,False,-0.0789178020157388,10.0,7.0,17.0,253,callable_lower,-0.2
10Y,10Y,True,0.0,10.0,10.0,20.0,0,target,0.0
10Y,15Y,False,-0.43351896018985653,10.0,15.0,25.0,253,callable_upper,-0.4
10Y,20Y,True,0.0,10.0,20.0,30.0,0,target,0.0
10Y,25Y,False,-0.09294381196938335,10.0,25.0,35.0,253,outside,0.0
10Y,30Y,True,0.0,10.0,30.0,40.0,0,target,0.0
15Y,1Y,False,0.486553272466032,15.0,1.0,16.0,253,long_positive,0.5
15Y,2Y,False,0.5042272516543023,15.0,2.0,17.0,253,long_positive,0.5
15Y,3Y,False,0.6548791650003378,15.0,3.0,18.0,253,long_positive,0.5
15Y,4Y,False,0.7549361227218412,15.0,4.0,19.0,253,long_positive,0.5
15Y,5Y,False,0.6303888804151714,15.0,5.0,20.0,253,long_positive,0.5
15Y,7Y,False,0.5576775879597609,15.0,7.0,22.0,253,long_positive,0.5
15Y,10Y,False,0.31609230367216345,15.0,10.0,25.0,253,long_positive,0.5
15Y,15Y,False,-0.31353975238534026,15.0,15.0,30.0,253,callable_lower,-0.2
15Y,20Y,False,0.07024676233678928,15.0,20.0,35.0,253,callable_bench,0.0
15Y,25Y,False,-0.03304974128080719,15.0,25.0,40.0,253,callable_upper,-0.4
15Y,30Y,False,0.07889935593071809,15.0,30.0,45.0,253,callable_bench,0.0
20Y,1Y,True,0.0,20.0,1.0,21.0,0,target,0.0
20Y,2Y,True,0.0,20.0,2.0,22.0,0,target,0.0
20Y,3Y,False,0.15396638460276396,20.0,3.0,23.0,253,long_positive,0.5
20Y,4Y,False,0.23728234456979377,20.0,4.0,24.0,253,long_positive,0.5
