tenor,rate
1W,0.036110078118753372
2W,0.036202008983354163
3W,0.036228312638775552
1M,0.036297595083244247
2M,0.036491177186870699
3M,0.036645672631953785
4M,0.03689414712045834
5M,0.037089982104129615
6M,0.037306883732768033
9M,0.038088675379113812
1Y,0.038801132315670638
18M,0.039202176542128278
2Y,0.039395626684496469
3Y,0.039277388535660686
4Y,0.039206972391103594
5Y,0.039297514096763873
6Y,0.039530893620931193
7Y,0.039815396612343547
8Y,0.040124724846012573
9Y,0.040440797341121132
10Y,0.040773563535788787
12Y,0.041435793763154267
15Y,0.042306205512316682
20Y,0.043024077717546183
25Y,0.042973509724631501
30Y,0.042587823148942529
