tenor,rate
1W,0.035979999999999998
2W,0.036116000000000002
3W,0.036199499999999996
1M,0.036199000000000002
2M,0.036420000000000001
3M,0.036611999999999999
4M,0.036915499999999997
5M,0.037175
6M,0.037400500000000003
9M,0.038269499999999998
1Y,0.039050000000000001
18M,0.039544999999999997
2Y,0.039765200000000001
3Y,0.0396532
4Y,0.0395673
5Y,0.039640499999999995
6Y,0.039862000000000002
7Y,0.040141999999999997
8Y,0.0404319
9Y,0.040738500000000004
10Y,0.041056000000000002
12Y,0.041702099999999999
15Y,0.042549999999999998
20Y,0.043226000000000007
25Y,0.043149
30Y,0.042739800000000001
