tenor,rate
1W,0.036072372266461483
2W,0.036165370184941821
3W,0.03621254104070612
1M,0.036272633926571964
2M,0.036486062714431083
3M,0.036640340544667305
4M,0.036866861328752859
5M,0.037071542967905956
6M,0.037266370855623655
9M,0.038017932848945064
1Y,0.038721368962031363
18M,0.039105279658511849
2Y,0.03926790103329237
3Y,0.039115492006810346
4Y,0.03902124137901445
5Y,0.039097054736682901
6Y,0.039335278301730822
7Y,0.039626695052593912
8Y,0.039939224341590071
9Y,0.040267821315989341
10Y,0.040601117498607418
12Y,0.041271949267755084
15Y,0.042153491768163222
20Y,0.042868569179303755
25Y,0.042823785739563525
30Y,0.042439274563720354
