tenor,rate
1W,0.036362999999999999
2W,0.036373000000000003
3W,0.036393499999999995
1M,0.036547999999999997
2M,0.036970999999999997
3M,0.037339699999999997
4M,0.037739500000000002
5M,0.038071500000000001
6M,0.038510000000000003
9M,0.039281999999999997
1Y,0.03986
18M,0.039805500000000001
2Y,0.039604
3Y,0.038959500000000001
4Y,0.038599000000000001
5Y,0.038498999999999999
6Y,0.038591
7Y,0.038764800000000002
8Y,0.039006800000000001
9Y,0.039278199999999999
10Y,0.039574999999999999
12Y,0.040198999999999999
15Y,0.041019
20Y,0.041709500000000004
25Y,0.041656000000000006
30Y,0.041269
