expiry_label,underlying_tenor,value
1M,1Y,76.9953415908371
1M,2Y,92.588278043434499
1M,3Y,89.047865783841686
1M,4Y,84.323599846641585
1M,5Y,81.706543961090276
1M,7Y,75.90452947844139
1M,10Y,69.301223284518144
1M,15Y,64.288777571851725
1M,20Y,60.256642879619768
1M,25Y,58.982017493879034
1M,30Y,57.861730227203793
3M,1Y,81.243383185489563
3M,2Y,92.084832096704062
3M,3Y,88.651671817151552
3M,4Y,85.928074057374133
3M,5Y,83.190718383573326
3M,7Y,78.56564343751441
3M,10Y,72.439348591037316
3M,15Y,68.30775935613994
3M,20Y,65.287636920154057
3M,25Y,63.977463150800126
3M,30Y,63.071069214669969
6M,1Y,94.509155193993706
6M,2Y,95.887295653163889
6M,3Y,92.465310596945969
6M,4Y,89.250207238854045
6M,5Y,86.123523313252235
6M,7Y,82.002194435393449
6M,10Y,76.980761772513532
6M,15Y,73.270256716267525
6M,20Y,70.569063028870673
6M,25Y,69.46212066272507
6M,30Y,68.665318662022685
9M,1Y,98.710264925948024
9M,2Y,96.44262022279166
9M,3Y,93.119078345661393
9M,4Y,90.024460179307795
9M,5Y,86.828664466756649
9M,7Y,82.818400693255981
9M,10Y,78.219434870196352
9M,15Y,74.92631151651041
9M,20Y,72.734411323788493
9M,25Y,71.63576318564931
9M,30Y,71.138629551210627
1Y,1Y,101.85891353750958
1Y,2Y,98.119466916675947
1Y,3Y,93.913376082833892
1Y,4Y,91.111327995656964
1Y,5Y,88.406052098484054
1Y,7Y,83.999789091554348
1Y,10Y,79.595652661828382
1Y,15Y,76.592674985309642
1Y,20Y,74.694358364213883
1Y,25Y,73.693763951111279
1Y,30Y,73.294253418116668
2Y,1Y,97.655274499575256
2Y,2Y,93.966015867329787
2Y,3Y,91.172020506257127
2Y,4Y,89.079255976153718
2Y,5Y,87.085318436245458
2Y,7Y,83.697539214764959
2Y,10Y,80.509903128824092
2Y,15Y,78.009904678584363
2Y,20Y,76.711150851202561
2Y,25Y,76.011151442751782
2Y,30Y,75.712398811002998
3Y,1Y,93.970845798122156
3Y,2Y,91.178330656127187
3Y,3Y,88.885863454167989
3Y,4Y,87.389108495539446
3Y,5Y,85.892363459422072
3Y,7Y,83.498905299840871
3Y,10Y,81.303292042807513
3Y,15Y,78.803292233033233
3Y,20Y,77.603292328695019
3Y,25Y,76.903292385876412
3Y,30Y,76.703292402405637
4Y,1Y,91.272885178388449
4Y,2Y,89.181310549044468
4Y,3Y,87.581312631361172
4Y,4Y,86.384694145155564
4Y,5Y,85.188082500577167
4Y,7Y,83.396585223293471
4Y,10Y,81.603422924007745
4Y,15Y,79.099999999999994
4Y,20Y,77.903423119587217
4Y,25Y,77.203423158697547
4Y,30Y,77.003423170002534
5Y,1Y,89.674185643192004
5Y,2Y,88.081872167353851
5Y,3Y,86.489607003957801
5Y,4Y,85.492196630187877
5Y,5Y,84.493493647854464
5Y,7Y,83.196091722381723
5Y,10Y,81.798695705809394
5Y,15Y,79.097393093830306
5Y,20Y,78.098695743109829
5Y,25Y,77.398695750567867
5Y,30Y,77.197393173989099
6Y,1Y,87.696495981029756
6Y,2Y,86.697447384700837
6Y,3Y,85.697447522319933
6Y,4Y,84.897765363096397
6Y,5Y,83.999040058413613
6Y,7Y,82.899359668644777
6Y,10Y,81.699679644434482
6Y,15Y,78.899679651374115
6Y,20Y,77.999679653710515
6Y,25Y,77.299679655565328
6Y,30Y,76.99967965637056
7Y,1Y,86.593757968899652
7Y,2Y,85.893758262468424
7Y,3Y,84.895623366576999
7Y,4Y,84.19687023520143
7Y,5Y,83.696870290531947
7Y,7Y,82.697494813717384
7Y,10Y,81.598120024436554
7Y,15Y,78.798120146690934
7Y,20Y,77.898120187853479
7Y,25Y,77.198120220532317
7Y,30Y,76.89812023471967
8Y,1Y,85.594472336082205
8Y,2Y,84.894472494905045
8Y,3Y,84.195391160440352
8Y,4Y,83.696310804497273
8Y,5Y,83.197231491371014
8Y,7Y,82.297231545549664
8Y,10Y,81.296311062956178
8Y,15Y,78.496311384466836
8Y,20Y,77.596311492737215
8Y,25Y,76.896311578699681
8Y,30Y,76.597231918247203
9Y,1Y,84.996365082936066
9Y,2Y,84.294554154800608
9Y,3Y,83.6945542929667
9Y,4Y,83.296365256311233
9Y,5Y,82.898180471467711
9Y,7Y,81.996365393742991
9Y,10Y,80.894554964841717
9Y,15Y,78.094555684895482
9Y,20Y,77.194555927434749
9Y,25Y,76.494556120022111
9Y,30Y,76.294556175696172
10Y,1Y,84.593829448552867
10Y,2Y,83.694473002461294
10Y,3Y,83.094151863018027
10Y,4Y,82.892869843097429
10Y,5Y,82.691276361225363
10Y,7Y,81.59064389213475
10Y,10Y,80.290014204421439
10Y,15Y,77.490021283469488
10Y,20Y,76.589708691363384
10Y,25Y,75.890025563172955
10Y,30Y,75.690341360799678
15Y,1Y,82.690660506984216
15Y,2Y,81.992078911575234
15Y,3Y,81.290663066552852
15Y,4Y,80.689606585774342
15Y,5Y,79.988555056439253
15Y,7Y,78.689260106081136
15Y,10Y,77.189615177430341
15Y,15Y,74.389622632851044
15Y,20Y,73.389976240040255
15Y,25Y,72.790329030799683
15Y,30Y,72.690329281275908
20Y,1Y,80.094747306527282
20Y,2Y,79.794549084846352
20Y,3Y,78.695945024458595
20Y,4Y,77.795346559610664
20Y,5Y,76.794552741833428
20Y,7Y,75.694950782443087
20Y,10Y,74.294952376706576
20Y,15Y,71.49495575254474
20Y,20Y,70.594956894506979
20Y,25Y,70.095354213492982
20Y,30Y,69.995155851640689
25Y,1Y,77.494013325138766
25Y,2Y,77.099409991469642
25Y,3Y,76.697266398957581
25Y,4Y,75.496495261742908
25Y,5Y,74.095920429991267
25Y,7Y,73.194967460240591
25Y,10Y,71.793458559388284
25Y,15Y,68.993277767546047
25Y,20Y,68.093654539056686
25Y,25Y,67.79365523495926
25Y,30Y,67.593843298139319
30Y,1Y,74.400000000000006
30Y,2Y,76.799999999999997
30Y,3Y,75.299999999999997
30Y,4Y,73.700000000000003
30Y,5Y,72
30Y,7Y,70.599999999999994
30Y,10Y,68.400000000000006
30Y,15Y,65.5
30Y,20Y,64.799999999999997
30Y,25Y,64.5
30Y,30Y,64.400000000000006
